	Stock	Correlated_Stock	Correlation_Value
0	AEFES.IS	MAVI.IS	0.9951532129192673
1	GARAN.IS	AEFES.IS	0.9945220283309225
2	ANSGR.IS	TURSG.IS	0.9943892161605452
3	KCHOL.IS	MAVI.IS	0.9939041499494723
4	GARAN.IS	MAVI.IS	0.9934546237421731
5	GARAN.IS	YKBNK.IS	0.9933269036750878
6	PETUN.IS	PNSUT.IS	0.9932177610217935
7	AKBNK.IS	YKBNK.IS	0.99320038536803
8	AKBNK.IS	GARAN.IS	0.9930648367356474
9	MGROS.IS	SOKM.IS	0.9924037715337334
10	GARAN.IS	ISCTR.IS	0.9923494796808823
11	KCHOL.IS	YKBNK.IS	0.992325133080076
12	ISCTR.IS	TUPRS.IS	0.9923118981214124
13	ISCTR.IS	MAVI.IS	0.992299399111668
14	DOAS.IS	ENJSA.IS	0.9922822507804804
15	KCHOL.IS	SAHOL.IS	0.9922183012277749
16	MAVI.IS	AGHOL.IS	0.9921697739502973
17	ISCTR.IS	KCHOL.IS	0.991935333869409
18	YKBNK.IS	AEFES.IS	0.9919209994446846
19	ISCTR.IS	YKBNK.IS	0.9919128094218944
20	YKBNK.IS	MAVI.IS	0.9914221752845819
21	KCHOL.IS	TCELL.IS	0.991322143772536
22	AEFES.IS	CCOLA.IS	0.9911877572532621
23	AKCNS.IS	BOBET.IS	0.9911757282339313
24	BIMAS.IS	OTKAR.IS	0.9911650316261528
25	AEFES.IS	AGHOL.IS	0.9911382920383226
26	ISCTR.IS	AEFES.IS	0.9910279179542858
27	CWENE.IS	EUPWR.IS	0.9909335283714035
28	AKCNS.IS	SOKM.IS	0.9908972568233828
29	TUPRS.IS	TRGYO.IS	0.99081934352288
30	SAHOL.IS	TCELL.IS	0.9908184955851151
31	PGSUS.IS	THYAO.IS	0.990750932523723
32	ASELS.IS	TCELL.IS	0.9905722134879171
33	DOHOL.IS	ECILC.IS	0.9905267941149504
34	ISCTR.IS	AGHOL.IS	0.9905260347239648
35	KCHOL.IS	AEFES.IS	0.9905231531282277
36	GARAN.IS	KCHOL.IS	0.9904003365078584
